parent_en,child_en,parent_ar,child_ar
Baby,Diapering,الأطفال الرضّع,الحفاضات
Baby,Feeding,الأطفال الرضّع,التغذية والرضاعة
Baby,Other Baby,الأطفال الرضّع,مستلزمات أطفال أخرى
Baby,Strollers & Accessories,الأطفال الرضّع,عربات الأطفال وملحقاتها
Baby,Toys for Baby,الأطفال الرضّع,ألعاب الأطفال الرضّع
Business & Industrial,Cleaning & Janitorial Supplies,الأعمال والصناعة,مستلزمات التنظيف
Business & Industrial,"Heavy Equipment, Parts & Attachments",الأعمال والصناعة,المعدات الثقيلة وقطعها وملحقاتها
Business & Industrial,Modular & Prefabricated Buildings,الأعمال والصناعة,المباني الجاهزة والمعيارية
"Business, Office & Industrial",Video Broadcasting & Recording,الأعمال والمكاتب والصناعة,البث والتسجيل المرئي
Cameras & Photo,Binoculars & Telescopes,الكاميرات والتصوير,المناظير والتلسكوبات
Cameras & Photo,Camcorders,الكاميرات والتصوير,كاميرات الفيديو
Cameras & Photo,Camera Drones,الكاميرات والتصوير,طائرات التصوير المسيّرة
Cameras & Photo,Camera Manuals & Guides,الكاميرات والتصوير,أدلة وإرشادات الكاميرات
Cameras & Photo,"Camera, Drone & Photo Accessories",الكاميرات والتصوير,ملحقات الكاميرات والطائرات والتصوير
Cameras & Photo,Digital Cameras,الكاميرات والتصوير,الكاميرات الرقمية
Cameras & Photo,Film Photography,الكاميرات والتصوير,التصوير بالأفلام
Cameras & Photo,Lenses & Filters,الكاميرات والتصوير,العدسات والمرشّحات
Cameras & Photo,Lighting & Studio,الكاميرات والتصوير,الإضاءة والاستوديو
Cameras & Photo,Mixed Lots,الكاميرات والتصوير,مجموعات متنوعة
Cameras & Photo,Replacement Parts & Tools,الكاميرات والتصوير,قطع الغيار والأدوات
Cameras & Photo,Tripods & Supports,الكاميرات والتصوير,الحوامل ثلاثية القوائم والدعامات
Cell Phones & Accessories,Cell Phones & Smartphones,الهواتف المحمولة وملحقاتها,الهواتف المحمولة والذكية
Cell Phones & Accessories,Smart Watches,الهواتف المحمولة وملحقاتها,الساعات الذكية
"Clothing, Shoes & Accessories",Kids,الملابس والأحذية والإكسسوارات,الأطفال
